@relation sentimentAnalysis

@attribute tweets string
@attribute sentiment{positive, negative}


@data
 'liseli öğrencilere kampüsümüzü gezdiren hocalar öğrencilerine nasıl bir kötülük yaptıklarının farkında değiller',negative
 'lütfen bizden çok selam söyleyin',positive
 'lys 2014 yerleştirme sonuçları açıklandı artık bizimsiniz',positive
 'mahallesindeki kızları bile kardeşi gibi görüp koruyan bir nesilden kız kardeşine tecavüz eden soysuzluğa',negative
 'mark abinin canı sıkılmış facebook hesabımızı bize sormadan sayfaya dönüştürmüş neyse buyrun beğenmeyen kalmasın',negative
 'marmaris saatlerdir yanıyor ve tek bir kanal haber yapmıyor acaba kimler nereye otel yapacak',negative
 'marmaris sabahtan beri sallanıyor şu ana kadar en büyüğü 40 şiddetinde olmak üzere 13 deprem meydana geldi',negative
 'mega köy köteklide adrenalin macera ve sınırsız eğlence sizi bekliyor',positive
 'mekanın cennet olsun kardeşim',negative
 'memlekete 4 bütle dönen msku öğrencisi',negative
 'memleketlerinde bütlere kalan öğrencilerimize nispet yapan öğrencilerimiz önümüzdeki dönem vize sınavlarına 25 puan ile başlayacak',negative
 'merhum kardeşimize allahtan rahmet kederli ailesine başsağlığı diliyoruz',positive
 'merkez üssü köyceğiz / muğla olan 41 büyüklüğünde bir deprem meydana geldi',negative
 'mezun öğrencilerimiz diplomasını almaya geldiklerinde öğrenci işlerimiz',positive
 'milyonlarca yürek tek soru bu saatte dersmi olur',negative
 'msku 1992 yılında dünyadaki tüm üniversitelere tepki olarak kuruldu',negative
 'msku eğitim fakültesi öğretim elemanı araş gör hilal küçük vefat etmiştir merhumeye allahtan rahmet sevenlerine başsağlığı diliyoruz',positive
 'msku gördüm aklima abim geldi mesaj ataym hemenn',positive
 'msku İs come back',positive
 'msku mesajı ile başlayan o kalp çarpıntısı &gt tüm krizler',negative
 'msku mesajları ile artık hiçbir öğrencimiz yalnız değil',positive
 'msku mesajlarıyla yine yalnız değilsiniz',positive
 'mskunun hunharca oynadığı trivia crack',positive
 'msku öğrencileri genellikle ileri görüşlüdür bknz memlekete dönüş biletini bütlerden sonraya alan öğrenciler',positive
 'msku öğrencileri için acıkma vakti',negative
 'msku öğrencileri ikiye ayrılır İİbfliler ve diğerleri',positive
 'msku öğrencisi temsili',positive
 'msku öğrencisi temsili falan değil',negative
 'msku öldürmez süründürür',negative
 'muğla büyükşehir belediyesinin yılbaşı anlayışı temsili değil',positive
 'muğlada dört mevsim yok tek mevsim var yağmur mevsimi',negative
 'muğlada ev tutacağınıza memleketinize dönün derslere uçakla gelip gidersiniz daha ucuz olur',negative
 'muğla da gençlerle keyifli bir buluşmasıtkı koçman üniversitesi akm b salonu mugla yolu',positive
 'muğlada güneş bile cool takılıyor',positive
 'muğlada güneş tutulması',positive
 'muğladan bizim üniversiteyi alın geriye ne kalır ki',negative
 'muğla’dan dünyaya başarılı kadın hikayeleri',positive
 'muğlada öğrencilerin hayata küstüren bazı şeyler 1',negative
 'muğlada okuyan öğrenciler hayata karşı daha güçlü olur yıllarca bir şehrin ev sahipleri tarafından çaresizce dolandırılmak kolay değil',negative
 'muğlada overlok makinesi değil deniz gelir ayağınıza',positive
 'muğlada yağmur fırtına ve 33 derece sıcaklık bir arada muğlanın iklimini çözmeye çalışan isviçreli bilim adamları intiharın eşiğinde',negative
 'muğla İlinin kırsal kalkınma potansiyelinin araştırılması projesi değerlendirme toplantısı',positive
 'muğla İlinin kırsal kalkınma potansiyelinin belirlenmesi',positive
 'muğlalılar simite yağmur der',negative
 'muğlanın efsanevi romantik yağmurları sizi bekliyor',positive
 'muğlanın havası eşittir ergen kız psikolojisi',negative
 'muğlanın havası &gt dengesizlik',negative
 'muğla sıtkı koçman üniversitesi',positive
 'muğla sıtkı koçman üniversitesi iktisadi ve İdari bilimler fakültesi',positive
 'muğla sıtkı koçman üniversitesi in menteşe türkiye',positive
 'muğla sıtkı koçman üniversitesi karya kapı nazar',positive
 'muğla sıtkı koçman üniversitesi meslek yüksekokulu',positive
 'muğla sıtkı koçman üniversitesindeki usulsüzlüğü unuttuğumuz sanılmasın süreci takip ediyoruz hak yerini bulacak',negative
 'muğla sıtkı koçman üniversitesinde usulsüzlük var aracılığıyla',negative
 'muğla sıtkı koçman üniversitesi yeni anayasa nedir ne değildir öğreniyor',positive
 'muğla sıtkı koçman university',positive
 'muğla soğukları &gt balkanlardan gelen soğuk hava dalgası  sibirya soğukları',negative
 'muğla üniversitesi eğitim ve araştırma hastanesi in muğla merkez',positive
 'muğla üniversitesi enformatik binası in muğla türkiye',positive
 'muğla üniversitesinden de sevgiler  muğlayı özlemeyenler samimi değildir onlardan uzak durun',negative
 'muğla üniversitesi spor salonu in muğla',positive
 'muğlayı ve üniversitemizi googledan öğrenemezsiniz bu akşam kafanızdaki tüm soru işaretlerini gidereceğiz takipte kalın',positive
 'muhteşem ffler harika harç paraları enfes yokuşlar harika bir yıldı bunun parçası olduğunuz için teşekkürler',negative
 'my team muğla sıtkı koçman üniversitesi',positive
 'naber nasılsınız yaa bir ara 5 çayına gelin diyorum dokuz eylülde gelecek',positive
 'ne demek istiyorsun',negative
 'nedir bu ekonominin bizden çektiği',negative
 'ne kadar küfür etseniz az',negative
 'nerede okuyorsun msku aaa ne güzel anlamı ne bilginin yokuşla anlam kazandığı yağmur ile değerlendiği bilge üniversite tanesi',positive
 'ne sorunlu üniversitesiniz siz öyle',negative
 'ne yani admin hayal kuramaz mı',negative
 'objektifimden eğitim fakültesi',positive
 'ödenen paralarla her şehire değil her mahalleye üniversite kurulur',negative
 'öğrenciler bu ülkenin geleceğidir müşterisi değil',negative
 'öğrenciler gittiğinde kötekli',positive
 'öğrencilerim beni seviyor',positive
 'öğrencilerimize yönelik iş ilanlarınızteklifleriniz için mail yoluyla iletişime geçebilirsiniz mail öğrencilerimizin %93ü daha vizelere girmeden neyse finalde kurtarırım diyerek ileri görüşlülükte bir dünya markası olmayı başarmıştır',positive
 'öğrencilerimizin kampüse gelip eduroamı sömürerek bilimkurgu filmleri indirip kendilerini geliştirdiklerinden hiç şüphemiz yok günaydın',negative
 'öğrencilerimizin not ortalamasını 2 ile çarpıp 1 doların tl değerine ulaşabilirsiniz',negative
 'öğrencilerin hocaların egolarına kurban gittiği bilge üniversite',negative
 'öğrencilerin isteği yaz okulu kararında etkili olacaktır İmza kampanyaları ve dilekçelerle yaz okulu isteğinizi yönetime bildirebilirsiniz',positive
 'öğrenciliği bırakıp şu köteklide şemsiye satsak zengin oluruz msku öğrencileri',negative
 'öğrenci olma efsane ol msku',positive
 'öğrenciyi sömüren muğlalı ev sahipleri 3',negative
 'öğretim üyesi alım İlanı',positive
 'okuduğu bölümü profiline ingilizce olarak yazmayan öğrencilerimize diploma vermiyoruz',positive
 'okulu bırakıp özel üniversiteye geçerseniz daha uygun olur',negative
 'olamaz bunu yapamazsınız tam vize haftası oldu olmadı hocalarımızın odasına bir el bombası atar mutluluklar dilersiniz',negative
 'önemli kararlar tarihi gün yakında müco kahvaltı ve dahası kötekli',positive
 'onlar dönmeyi hiç düşünmediler çanakkale geçilmez dediler ruhları şad olsun çanakkale geçilmez',positive
 'onun parası yok danaya giremez',negative
 'ortalığa keskin bir elma kokusu yayıldı çocuklar kokuya doğru koştu son sözleri anne elma kokusu geliyor oldu',negative
 'otomobil üreticileri yokuş kalkış desteği sistemini bizim kampüsümüzde keşfettiler',positive
 'öyle bir gülüşü var ki sanırsın bizim kampüs yokuşunu teleferikle çıkmış',positive
 'öyle olmadığını mı düşünüyorsunn',negative
 'o zaman sizinkiler eşittir bizimkiler',positive
 'özel üniversiteler sabrımızı test etmeye kalkmasın',negative
 'özgecanın katledilmesine sessiz kalma yarın saat 1400te kötekli yoğurtçu parkında toplanıyoruz',positive
 'özledim bi ses ver komşu',positive
 'pay çıkaramayan bir ben varım',negative
 'paylaşımları yaptığımız diğer sayfalarımız',positive
 'pazartesi sendromu hikaye bi çay koyunda içelim',negative
 'pekala kötü üniversiteye iyi geceler dileyin hadii',negative
 'peki size whatsapptan utanan maymun gönderelim',positive
 'peki ya benim lalelerimi simdi kim topluyodur ah msku lalelerine bile hasretim',positive
 'profilinize msku yazmayı unutmayın zira sınav haftalarında yabancılık çekebilirsiniz',positive
 'racon kesmiyoruz kafa kesiyoruz',negative
 'regaib kandiliniz mübarek olsun',positive
 'reklam ve İletişim için diğerleri de efsane',positive
 'rektörümüzün 8 mart dünya kadınlar günü mesajı',positive
 'sabah 830a ue koyan universitenin adıdır msku',negative
 'sabah kalkar çalışırım diyenlerin hiçbiri çalışmadı günaydın',negative
 'sabah sabah sınıftaki 2 gerizekaliyi görmek de msku ya dahil mi',negative
 'şanlıurfa ceylanpınar da şehit olan 2 polisimize allahtan rahmet ailelerine sabır diliyoruz',negative
 'saygıyla anıyoruz',positive
 'selam gece yarısı millete %75 burs konulu smsler atmaya devam mı cici üniversite öyle bişey yok siz yapmayacaksınız',negative
 'selam uykusuzluk selam yorgunluk roxo',negative
 'sende birde seneye gör kampüsü',positive
 'senin kampüs benim kampüsümün önünde diz çöküp tövbe ister',negative
 'seni seviyorum etiketine destek verin kanser hastalığına farkındalık yaratın',positive
 'seni sınavsız mezun edelim sende kurtul biz de kurtulalım',negative
 'sessiz kalmayın muğla valiliği bina sahipleri muğlada hırsız var muğlada ev ve apart kiraları',negative
 'sessiz olun çocuklar uyuyor  sevgi huzur sağlık ve barış getirmesi dileğiyle tüm İslam aleminin mevlid kandili mübarek olsun',positive
 'severler bizi',positive
 'sevgililer gününe yetişmek için dersler başlıyor bahanesiyle erkenden muğla yollarına düşen herkese selam olsun vizelerde görüşeceğiz',negative
 'sevgili msku kızlarımız gece kıyafetiyle okula geliyosunuz diye sizi çok kınadım sorry artık gönül rahatlığıyla gelebilirsiniz',positive
 'sevgiliniz bile o kadar mesaj atmıyor size değerimizi bilin msku',positive
 'seyir tepesi marmaris',positive
 'sigara içenlerin derse gidemediği bayır muğla sıtkı koçman üniversitesi in menteşe türkiye',negative
 'sıkıntı büyük kanka',negative
 'sıkıntı denizinin ciğerli balıklarıyız',negative
 'sınavda başarılar muğla sıtkı koçman üniversitesi in menteşe türkiye',positive
 'sınavdan çıkan arkadaşlar lütfen kalemler bize muğla sıtkı koçman üniversitesi in menteşe türkiye',positive
 'sınavlarda sinyal kesici jammer sınavlarda oturma düzeninin önceden belirlenmesi elektronik yoklama burası İİbf buradan çıkış yok',negative
 'sınav mı oda ne muğla sıtkı koçman üniversitesi in menteşe türkiye',negative
 'sınav sonuçlarını ailesine hemen ve eksiksiz söyleyenler bizden değildir',positive
 'siz 2015e finallerimizde size',negative
 'siz 2016ya bütlerimizde size',negative
 'sizce muğladaki en sağlam taraftar grubu hangi takımın',positive
 'siz de destek verin öykümüzü kurtaralım dualarımız seninle öykü',positive
 'siz hayırdır yaa',negative
 'siz hoşlandığınız kişiden mesaj beklersiniz ama mesajı biz atarız cenazenize de biz geleceğiz',positive
 'sizi komşuluktan men ederim d',negative
 'sizin bilgisayar mühendislerinden birini gönderir misin benim bilgisayara format atsın bizimkiler henüz tatilden dönmedi sizin inşaat muhendislerinden bir kaç tane gönderir misin bizim kampüsün duvarını onarsınlar , bizimkiler denize gitmişte sizin oralarda havalar nasıl sizin vizeler bizim vizelerin önünde diz çöküp tövbe ister geçen yokmu',positive
 'sohbetin ince yerinde habersiz usulca çekilen pic muğla sıtkı koçman üniversitesi',negative
 'somada hayatını kaybeden vatandaşlarımızın ailelerine yardımda bulunmak isteyen öğrencilerimiz bilgi için okul yönetimlerine başvurabilirler',positive
 'somada kaybettiğimiz madenci babalarımızın da babalar günü kutlu olsun somada yetim kalan kardeşlerimizi unutmayalım',negative
 'somada meydana gelen faciada hayatını kaybeden madencilerimizi saygıyla anıyoruz',positive
 'sömestr tatilini mega tatil köyü köteklide geçiren kimler var',positive
 'son günlerde muğla ile ilgili baya twitter hesabı açılıyor hayırdır yeni mi keşfettiniz burayı',positive
 'son tweeti ciddiye alanların sayısı azımsanacak gibi değil üniversite olarak çok zor günler geçiriyoruz',negative
 'sosyal medyada en aktif üniversiteyiz saygılar',positive
 'sözleşme yapmayan vergi kaçıran kafasına göre zam yapan yapan kaloriferleri düzgün yakmayan ev sahiplerine dur deme zamanı geldi',negative
 'şu an öğrencileri dünyaya küstürmenin yeni yollarını arıyorum bir ara bakarım',negative
 'şu kayıt işini bu kadar büyütmeyin kampüs olduğu yerde duruyor ve hepiniz kaydolacaksınız merak etmeyin',positive
 'sular kesik bizim çocuklar ders çalışamıyor',negative
 'şüphesiz ki dünyanın en zor mesleğine sahipler haklarını ödeyemeyiz tüm annelerin günü kutlu olsun',positive
 'şunu anladım ki allah beni msku yla sınıyor',negative
 'sunum bizim işimiz muğla sıtkı koçman üniversitesi turizm',positive
 'tabi buyrun gelin',positive
 'tabii ki',positive
 'taçsız kral metin oktayı ölümünün 23yıldönümünde sevgi saygı ve rahmetle anıyoruz',positive
 'takılsın biraz hevesini alsın',positive
 'tanıdık geldi miiii',positive
 'tarlalarını bozup apartman diken öğrenciyi soyan ev sahipleri hiçbir zaman unutulmayacak',negative
 'taş gibi sözlük muğla sıtkı koçman üniversitesi edebiyat fakültesi',positive
 'tatil yaparken üniversite okuyacağınız için arkadaşlarınıza hava atabilirsiniz',positive
 'tebrikler',positive
 'tek isteğimiz karamandan iyi haberlerin gelmesi',positive
 'tekrar bi hakemlik sabahından günaydın iyi yarıslar olsun muğla üniversitesi atletizm sahası',positive
 'telafi ederiz d muğla',positive
 'teşekkür ederimm',positive
 'teşekkürler',positive
 'teşekkürler msku',positive
 'tgb muğla muğla sıtkı koçman üniversitesinde kitapçıkları dağıttı',positive
 'tgb muğla muğla sıtkı koçman üniversitesinde yeni anayasa nedir ne değildir  kitapçıkları dağıttı',positive
 'this is kötekli',positive
 'this is msku',positive
 'toplumsal cinsiyet eşitsizlikleri',negative
 'tüİk’in açıkladığı ‘İl güvenlik endeksi’nde muğla son sırada yer alarak türkiye’nin en güvensiz ili',negative
 'tülaaayyy',positive
 'tüm geri kalmış üniversitelerin aksine bizim üniversitemizde kızlar teklif etmektedir',positive
 'tüm islam aleminin bayramı mübarek olsun hayırlı bayramlar',positive
 'tüm İslam aleminin berat kandilini kutlar hayırlara vesile olmasını dileriz',positive
 'tüm İslam aleminin regaip kandili mübarek olsun vicdansız hocalar ve finaller için dua etmeye şimdiden başlayın',positive
 'tüm öğrencilerimize %100 burs veriyoruz hodri meydan türkiyedir galatasaray',positive
 'türkoloji’de ve türk dünyasında rusça',positive
 'tweetlerdeki etkileşime göre aktif takipçileri sık sık fav yapanları takip ediyorum genelde',positive
 'tweetlerimiz son 1 ayda 832 bin kez görüntülendi teşekkürler herkese bizden aa',positive
 'ülkede hukuk mu var ülkemize bölgemize ve tüm dünyaya barış ve huzur getirmesi dileğiyle',negative
 'ülkenin fişini çekmişler ülke daha da karanlık oldu',negative
 'ultraslan grubunun başlattığı projeye destek veriyoruz okullarda sİyah giyiyoruz',negative
 'üni olarak dinliyoruz',positive
 'üniversite derin öğrenci yüzme bilmiyor',negative
 'üniversitemiz bahar şenliği konser programı',positive
 'üniversitemize bekliyoruz muhteşem kampüsümüzde canlı yayın yapın üniversitemizin acı kaybı',positive
 'üniversitemizin kanayan yarası İİbfde artık elektronik yoklama var geçmiş olsun İİbf',negative
 'üniversitemizin sms paketi bittiği için mesaj atamıyoruz notlarınızı adresinden öğrenebilirsiniz',negative
 'üniversitemizin yeni kazananlara özel düzenlediği geleneksel havuz başı partisinde eğlence yine doruk seviyeye ulaştı',positive
 'üniversitemiz öğrencilerinden sergen yildirim kardeşimiz talihsiz bir kaza sonucu hayatını kaybetmiştir',negative
 'üniversitemiz öğrencilerinden serpil karakaş trafik kazası sonucu vefat etmiştir merhumeye allahtan rahmet ailesine sabır diliyoruz',negative
 'üniversitemiz profesörlerinden namık kemal öztürk hocamızın muhteşem yorumu',positive
 'üniversitenin ilk günü tadını çıkarın 6 hafta sonra vizeler kötü çarpacak',negative
 'üniversite tercihleri bugün başladı bizi tercih etmeden önce 2 kez daha düşünün',negative
 'üniversite tercihleri için bugün son gün ama yine de siz bilirsiniz',negative
 'üniversiteyi 4 yılda bitiren bizden değildir',negative
 'üniversiteyi dünyaya duyuran adminin harcandığı üniversite',negative
 'üniversiteyi havaya uçur çıtımız çıkarsa namerdiz üniversiteyi sürekli kampüsün çimlerinde uzanarak derssiz sınavsız hayal etmekte aşka dahil',negative
 'unutmadık',positive
 'unutursak kalbimiz kurusun',positive
 'üşüdüysen İİbfyi yakayım',positive
 'uyan',positive
 'uyarıyoruz biz sizin bildiğiniz üniversitelerden değiliz burası muğla burda herşey gerçek',negative
 'uyku insana verilmiş bir mucizeyken okullar bu mucizeyi mahvetmek için yapılmış yerlerdir',negative
 'uyudun mu uyudun mu uyumayanlara selam olsun',positive
 'uyumayın İnsanlıktan utanın uyumayın',negative
 'uyumayın kendinizdenvicdanınızdan insanlığınızdan utanın uyumayın',negative
 'uyuyun artık sonra sabah uyanamıyorsunuz',negative
 'uyuyun artık sonra uyanamayıp dersleri kaçırıyorsunuz bilginin sevgiyle bütünleştiği bilge üniversitemizde bilgiden mahrum kalıyorsunuz',negative
 'uyuyun gelmeyin',negative
 'uyuyun gelmeyin gelince dersten kalmayacak mısınız sanki',negative
 'uzuun bir aradan sonra merhaba muğla sıtkı koçman üniversitesi',positive
 'varsa şekliniz kötekliye bekleriz ve muğla elektriğe kavuşur',positive
 'vize haftası bitiyor ama finallerde yaklaşıyor bilin istedim',negative
 'vize haftası bütünleme tarihlerini araştıran öğrenci gerçek ileri görüşlü öğrenci',negative
 'vize haftası eşittir yeni küfürler üretme haftası',negative
 'vize haftası msku öğrencisi',positive
 'vizeler',positive
 'vizelere sadece 5 hafta kaldı bilin istedik',positive
 'vizeler geldi siz hâlâ buralarda takılıyorsunuz sonra vizeler girince yok msku şöyle yok msku böyle demeyin',negative
 'vizeler yaklaşınca msku öğrencisi',positive
 'vizeler yaklaşırken telefonların son durumu',positive
 'vizenin finalle bütünleştiği bilge üniversite msku',positive
 'vize sınavlarından sonra iktisadi ve idari bilimler fakültemiz zor günler geçiriyor',negative
 'vize sonuçlarından sonra atın beni denizlere deseniz atacağımız deniz yok msku yıkılsın yerine deniz yapılsın',negative
 'vize sonuçları yakın öğrenci bilgi sistemini yakın'negative
 'with çisem muğla üniversitesi eğitim ve araştırma hastanesi in muğla merkez',positive
 'yağmur',positive
 'yağmur bir daha hiç durmayacak gibi',negative
 'yağmur dolu fırtına muğlaya dönerken bir daha düşünün',negative
 'yağmur memleketini muğla olarak güncelledi',negative
 'yağmur muğlayı yutmak üzere',negative
 'yarın akşam muğla sıtkı koçman üniversitesi ile ilgili önemli açıklamalar yapacak yeni iddialar gündeme getireceğim bilgilerinize sunarım',positive
 'yarından sonra filminin 2 serisi muğlada çekilmektedir',negative
 'yarın günlerden yokuş yarın günlerden uykusuzluk yarın günlerden bunalım yarın günlerden msku',negative
 'yarın katlamalı har aç için tt çalışmamız olacaktır takipte kalın',positive
 'yarın son ulan muğla üniversitesi spor salonu in muğla',positive
 'yarın tüm msku simsiyah',negative
 'yarın üniversite tercihleri başlıyor üniversitemiz hakkında fikir sahibi olmak isterseniz hashtagını ziyaret edebilirsiniz',positive
 'yarın ygsye gireceklere başarılar diliyoruz bir gün herkes mskulu olacak',positive
 'yarın ygsye girecek tüm öğrencilere başarılar dileriz tercihlerde bir delilik yapıp bizi yazmayın sakın',positive
 'yatak odasından geçmeyen işe alınmıyor',negative
 'yavuz selim muğla üniversitesi modern fizik laboratuvarı',positive
 'yaz mevsimi muğla ile olan sözleşmesini tek taraflı olarak feshetti',negative
 'yaz okuluna kalan kişi sayısı 1800 İİbfde kalan kişi sayısı 1200 İİbf pişmanlıktır',negative
 'yaz okuluna kalanları görelim',negative
 'yaz okulunda diğer üniversitelerden ders almak isteyenler ders alabilecek detaylı bilgi',positive
 'yaz okulunu haftanın mesai bitiminde duyuran kafalardaki tüm soru işaretlerini pazartesiye bırakan üniversitemizi saygıyla anabilirsiniz',negative
 'yaz okulu yakın bütleri yakın',negative
 'yazzz geldiii buralaraa muğla sıtkı koçman üniversitesi ortaca myo',positive
 'ydb kodlu ortak zorunlu İngilizce almanca fransızca yabancı dil derslerine ait ara sınav duyurusu',positive
 'yenİ kayit yaptiracak öğrencİlerİmİz İçİn bİlgİler',positive
 'yeni kazanan arkadaşlar hayırlı olsun bilginin sevgiyle bütünleştiği bilge üniversitemize hoş geldiniz',positive
 'yeni kazanan bayan öğrencilerimize yardımcı olmak isteyen 2 3 ve 4 sınıftaki erkek öğrencilerimizin yardım etme isteği takdire şayan',positive
 'yeni öğrencilerimiz yağmurdan dolayı isyan etmiş bu henüz fragman',negative
 'ygs zamanı muğla sıtkı koçman üniversitesi in menteşe türkiye',positive
 'yıllardır yüz binlerce öğrencinin bedduasına rağmen yıkılmadık ayaktayız',negative
 'yine birilerinin hayalleri yerle bir olmuş',negative
 'yine bir staj günü muğla üniversitesi eğitim ve araştırma hastanesi in muğla merkez',positive
 'yine mi',negative
 'yoğun talepten dolayı kontenjan arttırma çalışmalarına başladık',positive
 'yok baba daha açıklanmadı',negative
 'yokuşların ustasıyım yaz okulunun hastasıyım',positive
 'yol yakınken geri dönün',negative
 'yüksek etki değerli dergilerde yayın yapmak',positive
 'yüzme bilmeyenler için üniversitemizin yüzme kursları bulunmaktadır',positive
 'zafere giden yokuşta çekilen çile kutsaldır',negative
